id,description
1,"Apple iPhone 15 Pro 256GB Natural Titanium. Цена: 89 990 руб. Смартфон с чипом A17 Pro, камера 48 МП, экран 6.1 дюйма Super Retina XDR, поддержка USB-C."
2,"Samsung Galaxy S24 Ultra 512GB Titanium Black. Цена: 114 990 руб. Флагманский смартфон с чипом Snapdragon 8 Gen 3, S Pen, камера 200 МП, экран 6.8 дюйма Dynamic AMOLED."
3,"Sony WH-1000XM5 Wireless Noise Cancelling Headphones Black. Цена: 29 990 руб. Наушники с активным шумоподавлением, Bluetooth 5.2, время работы 30 часов."
4,"Xiaomi Mi Robot Vacuum Cleaner X20 Plus. Цена: 34 500 руб. Робот-пылесос с лазерной навигацией, мощность 4000 Па, управление через приложение."
5,"LEGO Technic Lamborghini Sian FKP 37 (42115). Цена: 21 990 руб. Конструктор 3696 деталей, масштаб 1:8, функциональная подвеска."
6,"Apple MacBook Air 13 M3 512GB Silver. Цена: 119 990 руб. Лёгкий ноутбук с чипом Apple M3, Retina дисплей, автономность до 18 часов."
7,"Dell XPS 15 9530 Intel i7 32GB RTX 4060. Цена: 189 990 руб. Премиальный ноутбук для работы и графики, OLED экран 3.5K."
8,"ASUS ROG Strix G16 Gaming Laptop RTX 4070. Цена: 159 990 руб. Игровой ноутбук с 165Hz дисплеем и RGB клавиатурой."
9,"iPad Pro 12.9 M2 256GB Space Gray. Цена: 104 990 руб. Планшет с Liquid Retina XDR дисплеем и поддержкой Apple Pencil."
10,"Samsung Galaxy Tab S9 Ultra 512GB. Цена: 99 990 руб. Огромный AMOLED экран 14.6 дюйма, S Pen в комплекте."
11,"GoPro Hero 12 Black Action Camera. Цена: 39 990 руб. Экшн-камера 5.3K, стабилизация HyperSmooth 6.0."
12,"DJI Mini 4 Pro Drone Fly More Combo. Цена: 79 990 руб. Компактный дрон с 4K камерой и дальностью 20 км."
13,"PlayStation 5 Slim Digital Edition. Цена: 49 990 руб. Игровая консоль нового поколения без дисковода."
14,"Xbox Series X 1TB. Цена: 54 990 руб. Самая мощная консоль Microsoft с 4K 120fps."
15,"Apple Watch Series 9 45mm GPS. Цена: 39 990 руб. Умные часы с мониторингом здоровья и Always-On дисплеем."
16,"Samsung Galaxy Watch 6 Classic. Цена: 29 990 руб. Смарт-часы с вращающимся безелем и Wear OS."
17,"JBL Charge 5 Bluetooth Speaker. Цена: 12 990 руб. Портативная колонка с мощным басом и защитой IP67."
18,"Marshall Stanmore III Bluetooth Speaker. Цена: 29 990 руб. Премиальный звук и классический дизайн."
19,"Logitech MX Master 3S Mouse. Цена: 9 990 руб. Беспроводная мышь для работы и программирования."
20,"Keychron K8 Mechanical Keyboard RGB. Цена: 8 990 руб. Механическая клавиатура с горячей заменой свитчей."
21,"Razer BlackShark V2 Pro Headset. Цена: 19 990 руб. Игровая гарнитура с THX Spatial Audio."
22,"Canon EOS R6 Mark II Camera Body. Цена: 199 990 руб. Профессиональная беззеркальная камера 24MP."
23,"Sony Alpha A7 IV Mirrorless Camera. Цена: 219 990 руб. Универсальная камера для фото и видео."
24,"HP LaserJet Pro M404dn Printer. Цена: 24 990 руб. Быстрый монохромный лазерный принтер."
25,"Epson EcoTank L3250 Printer. Цена: 18 990 руб. Принтер с системой непрерывной подачи чернил."
26,"Dyson V15 Detect Vacuum Cleaner. Цена: 59 990 руб. Беспроводной пылесос с лазерным детектором пыли."
27,"Philips Air Fryer XXL HD9650. Цена: 16 990 руб. Аэрогриль для здорового приготовления еды."
28,"Bosch Series 6 Washing Machine 9kg. Цена: 44 990 руб. Стиральная машина с инверторным мотором."
29,"LG OLED C3 55 inch TV. Цена: 129 990 руб. OLED телевизор с идеальным чёрным цветом."
30,"Samsung QLED Q80C 65 inch TV. Цена: 119 990 руб. Яркий QLED телевизор с HDR10+."
31,"Nintendo Switch OLED Model. Цена: 29 990 руб. Портативная игровая консоль с OLED экраном."
32,"Anker PowerBank 20000mAh 65W. Цена: 6 990 руб. Мощный внешний аккумулятор для ноутбуков."
33,"UGREEN USB-C Hub 8-in-1. Цена: 3 990 руб. Хаб с HDMI, USB 3.0 и кардридером."
34,"HyperX Cloud II Gaming Headset. Цена: 9 990 руб. Игровая гарнитура с 7.1 звуком."
35,"Corsair Vengeance 32GB DDR5 RAM. Цена: 12 990 руб. Оперативная память для ПК."
36,"Samsung 990 PRO 1TB SSD. Цена: 10 990 руб. NVMe SSD с высокой скоростью чтения."
37,"Seagate External HDD 4TB Backup Plus. Цена: 9 990 руб. Внешний жёсткий диск для хранения данных."
38,"TP-Link Archer AX73 Wi-Fi 6 Router. Цена: 7 990 руб. Быстрый домашний маршрутизатор."
39,"Google Nest Hub 2 Smart Display. Цена: 8 990 руб. Умный дисплей с Google Assistant."
40,"Amazon Echo Dot 5th Gen. Цена: 5 990 руб. Умная колонка с Alexa."
41,"Fitbit Charge 6 Fitness Tracker. Цена: 12 990 руб. Фитнес-браслет с GPS и мониторингом сна."
42,"Xiaomi Smart Band 8. Цена: 3 990 руб. Бюджетный фитнес-браслет."
43,"Nike Air Force 1 Sneakers. Цена: 11 990 руб. Классические кроссовки."
44,"Adidas Ultraboost 22 Running Shoes. Цена: 14 990 руб. Беговые кроссовки с амортизацией."
45,"Apple AirPods Pro 2. Цена: 24 990 руб. Беспроводные наушники с шумоподавлением."
46,"Bose QuietComfort 45 Headphones. Цена: 29 990 руб. Премиальные наушники с ANC."
47,"Lenovo ThinkPad X1 Carbon Gen 11. Цена: 179 990 руб. Бизнес-ноутбук премиум-класса."
48,"Acer Nitro 5 Gaming Laptop RTX 4050. Цена: 99 990 руб. Бюджетный игровой ноутбук."
49,"Realme GT 5 Pro Smartphone. Цена: 59 990 руб. Производительный смартфон с Snapdragon 8 Gen 3."
50,"Nothing Phone 2 256GB. Цена: 49 990 руб. Смартфон с прозрачным дизайном и Glyph интерфейсом."
